SEQ=2336 | IR=6307 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2337 | IR=6309 | MOV=0.024 | MPU=OK | BLE=CONECTADO
SEQ=2338 | IR=6291 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2339 | IR=6301 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2340 | IR=6306 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2341 | IR=6307 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2342 | IR=6292 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2343 | IR=6299 | MOV=0.023 | MPU=OK | BLE=CONECTADO
SEQ=2344 | IR=6310 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2345 | IR=6291 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2346 | IR=6292 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2347 | IR=6304 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2348 | IR=6312 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2349 | IR=6302 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2350 | IR=6309 | MOV=0.015 | MPU=OK | BLE=CONECTADO
SEQ=2351 | IR=6301 | MOV=0.024 | MPU=OK | BLE=CONECTADO
SEQ=2352 | IR=6308 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2353 | IR=6309 | MOV=0.017 | MPU=OK | BLE=CONECTADO
SEQ=2354 | IR=6279 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2355 | IR=6295 | MOV=0.024 | MPU=OK | BLE=CONECTADO
SEQ=2356 | IR=6313 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2357 | IR=6298 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2358 | IR=6292 | MOV=0.014 | MPU=OK | BLE=CONECTADO
SEQ=2359 | IR=6295 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2360 | IR=6270 | MOV=0.015 | MPU=OK | BLE=CONECTADO
SEQ=2361 | IR=6258 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2362 | IR=6263 | MOV=0.023 | MPU=OK | BLE=CONECTADO
SEQ=2363 | IR=6281 | MOV=0.011 | MPU=OK | BLE=CONECTADO
SEQ=2364 | IR=6280 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2365 | IR=6270 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2366 | IR=6254 | MOV=0.014 | MPU=OK | BLE=CONECTADO
SEQ=2367 | IR=6259 | MOV=0.014 | MPU=OK | BLE=CONECTADO
SEQ=2368 | IR=6281 | MOV=0.029 | MPU=OK | BLE=CONECTADO
SEQ=2369 | IR=6276 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2370 | IR=6254 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2371 | IR=6267 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2372 | IR=6263 | MOV=0.003 | MPU=OK | BLE=CONECTADO
SEQ=2373 | IR=6269 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2374 | IR=6265 | MOV=0.014 | MPU=OK | BLE=CONECTADO
